"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.33" 8 46 1201 9504 0.148148148148148 0.112190565156469 "Monocle" "33"
"2" "Monocle.66" 8 41 1201 9504 0.163265306122449 0.112190565156469 "Monocle" "66"
"3" "Monocle.90" 8 37 1201 9504 0.177777777777778 0.112190565156469 "Monocle" "90"
"4" "Monocle.Final" 8 29 1924 8781 0.216216216216216 0.179729098552078 "Monocle" "Final"
"5" "Monocle.Initial" 8 53 1133 9572 0.131147540983607 0.105838393274171 "Monocle" "Initial"
"6" "sc3.33" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" "33"
"7" "sc3.66" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "66"
"8" "sc3.90" 6 42 1360 9345 0.125 0.12704343764596 "sc3" "90"
"9" "sc3.Final" 6 36 1439 9266 0.142857142857143 0.134423166744512 "sc3" "Final"
"10" "sc3.Initial" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "Initial"
"11" "Seurat.33" 4 45 934 9771 0.0816326530612245 0.0872489490892106 "Seurat" "33"
"12" "Seurat.66" 6 40 2238 8467 0.130434782608696 0.209061186361513 "Seurat" "66"
"13" "Seurat.90" 6 37 2259 8446 0.13953488372093 0.211022886501635 "Seurat" "90"
"14" "Seurat.Final" 8 29 2642 8063 0.216216216216216 0.246800560485754 "Seurat" "Final"
"15" "Seurat.Initial" 6 47 1183 9522 0.113207547169811 0.110509107893508 "Seurat" "Initial"
