cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
human1_lib1.final_cell_0001,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0002,24,15,14,24,14,14,24,14,14,24,14,14,24,14,14
human1_lib1.final_cell_0003,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0004,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0005,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0006,24,15,14,24,14,14,24,14,14,24,14,14,24,14,14
human1_lib1.final_cell_0007,7,9,3,7,9,3,7,9,3,7,9,3,7,9,3
human1_lib1.final_cell_0008,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0009,24,15,14,24,14,14,24,14,14,24,14,14,24,14,14
human1_lib1.final_cell_0010,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0011,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0012,28,14,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0013,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
human1_lib1.final_cell_0014,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
human1_lib1.final_cell_0015,21,9,17,21,9,17,21,9,17,21,9,17,21,9,17
human1_lib1.final_cell_0016,23,4,8,23,4,8,23,4,8,23,1,8,23,1,8
human1_lib1.final_cell_0017,7,9,3,7,9,3,7,9,3,7,9,3,7,9,3
human1_lib1.final_cell_0018,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0019,16,12,11,16,12,11,16,12,11,16,12,11,16,12,11
human1_lib1.final_cell_0020,7,11,3,7,11,3,7,11,3,7,11,3,7,11,3
human1_lib1.final_cell_0021,7,11,3,7,11,3,7,11,3,7,11,3,7,11,3
human1_lib1.final_cell_0022,6,16,7,6,8,7,4,8,4,2,8,4,2,8,4
human1_lib1.final_cell_0023,7,12,9,7,12,9,7,12,9,7,12,9,7,12,9
human1_lib1.final_cell_0024,7,3,3,7,3,3,7,3,3,7,3,3,7,3,3
human1_lib1.final_cell_0025,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
human1_lib1.final_cell_0026,3,16,7,3,8,7,3,8,4,1,8,4,1,8,4
human1_lib1.final_cell_0027,7,11,3,7,11,3,7,11,3,7,11,3,7,11,3
human1_lib1.final_cell_0028,28,15,2,28,14,2,28,14,2,27,14,2,27,14,2
human1_lib1.final_cell_0029,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0030,7,11,3,7,11,3,7,11,3,7,11,3,7,11,3
human1_lib1.final_cell_0031,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
human1_lib1.final_cell_0032,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
human1_lib1.final_cell_0033,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
human1_lib1.final_cell_0034,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
human1_lib1.final_cell_0035,7,11,3,7,11,3,7,11,3,7,11,3,7,11,3
human1_lib1.final_cell_0036,28,15,14,28,14,14,28,14,14,27,14,14,27,14,14
human1_lib1.final_cell_0037,7,11,3,7,11,3,7,11,3,7,11,3,7,11,3
human1_lib1.final_cell_0038,7,11,3,7,11,3,7,11,3,7,11,3,7,11,3
human1_lib1.final_cell_0039,21,9,17,21,9,17,21,9,17,21,9,17,21,9,17
human1_lib1.final_cell_0040,26,7,5,26,7,5,26,7,5,26,7,5,26,7,5
