cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
human1_lib1.final_cell_0001,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0002,24,6,17,24,6,17,24,6,17,24,6,2,24,6,2
human1_lib1.final_cell_0003,28,16,17,28,7,17,28,7,17,27,6,2,27,6,2
human1_lib1.final_cell_0004,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0005,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0006,24,6,17,24,6,17,24,6,17,24,6,2,24,6,2
human1_lib1.final_cell_0007,7,8,3,7,8,3,7,8,3,7,8,3,7,8,3
human1_lib1.final_cell_0008,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0009,24,6,17,24,6,17,24,6,17,24,6,2,24,6,2
human1_lib1.final_cell_0010,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0011,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0012,28,7,17,28,7,17,28,7,17,27,6,2,27,6,2
human1_lib1.final_cell_0013,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0014,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0015,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19
human1_lib1.final_cell_0016,23,31,12,23,31,12,23,31,12,23,31,12,23,31,12
human1_lib1.final_cell_0017,7,8,3,7,8,3,7,8,3,7,8,3,7,8,3
human1_lib1.final_cell_0018,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0019,16,18,10,16,18,10,16,18,10,16,18,10,16,18,10
human1_lib1.final_cell_0020,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0021,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0022,6,19,16,6,10,16,6,10,16,4,10,1,2,10,1
human1_lib1.final_cell_0023,7,18,8,7,18,8,7,18,8,7,18,8,7,18,8
human1_lib1.final_cell_0024,7,33,3,7,33,3,7,33,3,7,33,3,7,33,3
human1_lib1.final_cell_0025,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0026,3,10,16,3,10,16,3,10,16,3,10,1,3,10,1
human1_lib1.final_cell_0027,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0028,28,16,17,28,7,17,28,7,17,27,6,2,27,6,2
human1_lib1.final_cell_0029,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0030,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0031,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0032,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0033,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0034,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0035,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0036,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0037,7,9,3,7,9,3,7,9,3,7,9,3,7,9,3
human1_lib1.final_cell_0038,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0039,21,8,19,21,8,19,21,8,19,21,8,19,21,8,19
human1_lib1.final_cell_0040,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0041,23,31,12,23,31,12,23,31,12,23,31,12,23,31,12
human1_lib1.final_cell_0042,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0043,26,27,5,26,27,5,26,27,5,26,22,5,26,22,5
human1_lib1.final_cell_0044,23,31,12,23,31,12,23,31,12,23,31,12,23,31,12
human1_lib1.final_cell_0045,23,31,12,23,31,12,23,31,12,23,31,12,23,31,12
human1_lib1.final_cell_0046,23,31,12,23,31,12,23,31,12,23,31,12,23,31,12
human1_lib1.final_cell_0047,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0048,23,31,12,23,31,12,23,31,12,23,31,12,23,31,12
human1_lib1.final_cell_0049,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0050,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0051,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0052,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0053,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0054,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0055,7,8,3,7,8,3,7,8,3,7,8,3,7,8,3
human1_lib1.final_cell_0056,23,31,12,23,31,12,23,31,12,23,31,12,23,31,12
human1_lib1.final_cell_0057,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0058,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0059,7,15,3,7,15,3,7,15,3,7,15,3,7,15,3
human1_lib1.final_cell_0060,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19
human1_lib1.final_cell_0061,17,24,8,17,24,8,17,24,8,17,24,8,17,5,8
human1_lib1.final_cell_0062,3,30,16,3,30,16,3,4,16,3,4,1,3,4,1
human1_lib1.final_cell_0063,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19
human1_lib1.final_cell_0064,17,18,8,17,18,8,17,18,8,17,18,8,17,18,8
human1_lib1.final_cell_0065,25,18,16,25,18,16,25,18,16,25,18,1,25,18,1
human1_lib1.final_cell_0066,28,6,17,28,6,17,28,6,17,27,6,2,27,6,2
human1_lib1.final_cell_0067,6,19,16,6,10,16,6,10,16,4,10,1,2,10,1
human1_lib1.final_cell_0068,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0069,26,34,5,26,34,5,26,34,5,26,22,5,26,22,5
human1_lib1.final_cell_0070,6,19,16,6,10,16,6,10,16,4,10,1,2,10,1
human1_lib1.final_cell_0071,21,8,19,21,8,19,21,8,19,21,8,19,21,8,19
human1_lib1.final_cell_0072,21,1,19,21,1,19,21,1,19,21,1,19,21,1,19
human1_lib1.final_cell_0073,21,8,3,21,8,3,21,8,3,21,8,3,21,8,3
human1_lib1.final_cell_0074,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0075,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
human1_lib1.final_cell_0076,7,9,3,7,9,3,7,9,3,7,9,3,7,9,3
human1_lib1.final_cell_0077,26,22,5,26,22,5,26,22,5,26,22,5,26,22,5
human1_lib1.final_cell_0078,7,8,3,7,8,3,7,8,3,7,8,3,7,8,3
human1_lib1.final_cell_0079,7,33,3,7,33,3,7,33,3,7,33,3,7,33,3
human1_lib1.final_cell_0080,7,21,3,7,21,3,7,21,3,7,21,3,7,15,3
human1_lib1.final_cell_0081,7,36,3,7,36,3,7,36,3,7,36,3,7,36,3
