sc3.sc3_0,sc3.sc3_0.05,sc3.sc3_0.1,sc3.sc3_0.15,sc3.sc3_0.2,sc3.sc3_0.25,sc3.sc3_0.3,sc3.sc3_0.35,sc3.sc3_0.4,sc3.sc3_0.45,sc3.sc3_0.5,sc3.sc3_0.55,sc3.sc3_0.6,sc3.sc3_0.65,sc3.sc3_0.7,sc3.sc3_0.75,sc3.sc3_0.8,sc3.sc3_0.85,sc3.sc3_0.9,sc3.sc3_0.95,sc3.sc3_1,Monocle.Monocle_0,Monocle.Monocle_0.05,Monocle.Monocle_0.1,Monocle.Monocle_0.15,Monocle.Monocle_0.2,Monocle.Monocle_0.25,Monocle.Monocle_0.3,Monocle.Monocle_0.35,Monocle.Monocle_0.4,Monocle.Monocle_0.45,Monocle.Monocle_0.5,Monocle.Monocle_0.55,Monocle.Monocle_0.6,Monocle.Monocle_0.65,Monocle.Monocle_0.7,Monocle.Monocle_0.75,Monocle.Monocle_0.8,Monocle.Monocle_0.85,Monocle.Monocle_0.9,Monocle.Monocle_0.95,Monocle.Monocle_1,Seurat.Seurat_0,Seurat.Seurat_0.05,Seurat.Seurat_0.1,Seurat.Seurat_0.15,Seurat.Seurat_0.2,Seurat.Seurat_0.25,Seurat.Seurat_0.3,Seurat.Seurat_0.35,Seurat.Seurat_0.4,Seurat.Seurat_0.45,Seurat.Seurat_0.5,Seurat.Seurat_0.55,Seurat.Seurat_0.6,Seurat.Seurat_0.65,Seurat.Seurat_0.7,Seurat.Seurat_0.75,Seurat.Seurat_0.8,Seurat.Seurat_0.85,Seurat.Seurat_0.9,Seurat.Seurat_0.95,Seurat.Seurat_1,cells
28,15,14,11,11,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,5,5,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,17,17,14,8,8,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A10
16,10,9,11,11,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,11,10,9,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1502401_A12
19,12,11,9,9,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,12,2,2,6,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A14
16,10,9,11,11,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,10,10,8,8,8,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A15
16,10,9,11,11,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,15,14,9,2,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,HP1502401_A17
17,16,15,12,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,11,10,7,5,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,7,7,10,9,9,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A18
17,16,15,12,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,11,10,7,5,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,7,7,10,9,9,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A2
32,21,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,13,13,11,10,10,5,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A20
32,21,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,13,13,11,10,10,5,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A21
21,14,13,10,10,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,7,6,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,12,2,2,6,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,HP1502401_A22
