cells,sc3-Initial,Monocle-Initial,Seurat-Initial,sc3-33,Monocle-33,Seurat-33,sc3-66,Monocle-66,Seurat-66,sc3-90,Monocle-90,Seurat-90,sc3-Final,Monocle-Final,Seurat-Final
AZ_A1,9,1,6,9,1,6,9,1,6,9,1,6,9,1,6
AZ_A10,7,1,13,7,1,13,7,1,13,7,1,13,7,1,13
AZ_A11,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_A12,6,1,13,6,1,13,6,1,13,6,1,13,6,1,13
AZ_A2,7,1,22,7,1,22,7,1,22,7,1,22,7,1,22
AZ_A3,9,21,13,9,21,13,9,21,13,9,21,13,9,2,13
AZ_A4,9,1,6,9,1,6,9,1,6,9,1,6,9,1,6
AZ_A5,2,21,5,2,21,5,2,21,5,1,21,5,1,2,5
AZ_A6,19,1,17,19,1,17,19,1,17,19,1,17,19,1,17
AZ_A7,8,11,8,8,11,8,8,11,8,8,11,8,8,11,8
AZ_A8,6,1,19,6,1,19,6,1,19,6,1,19,6,1,19
AZ_A9,6,1,13,6,1,13,6,1,13,6,1,13,6,1,13
AZ_B1,6,1,13,6,1,13,6,1,13,6,1,13,6,1,13
AZ_B10,6,1,13,6,1,13,6,1,13,6,1,13,6,1,13
AZ_B11,19,1,7,19,1,7,19,1,7,19,1,7,19,1,7
AZ_B12,19,1,11,19,1,11,19,1,11,19,1,11,19,1,11
AZ_B2,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_B3,19,1,11,19,1,11,19,1,11,19,1,11,19,1,11
AZ_B4,9,21,6,9,21,6,9,21,6,9,21,6,9,2,6
AZ_B5,19,1,6,19,1,6,19,1,6,19,1,6,19,1,6
AZ_B6,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_B7,9,9,6,9,9,6,9,9,6,9,9,6,9,9,6
AZ_B8,8,11,8,8,11,8,8,11,8,8,11,8,8,11,8
AZ_B9,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_C1,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_C10,6,1,19,6,1,19,6,1,19,6,1,19,6,1,19
AZ_C11,6,1,6,6,1,6,6,1,6,6,1,6,6,1,6
AZ_C12,9,9,6,9,9,6,9,9,6,9,9,6,9,9,6
AZ_C2,19,1,2,19,1,2,19,1,2,19,1,2,19,1,2
AZ_C3,2,11,3,2,11,3,2,11,3,1,11,3,1,11,3
AZ_C4,6,1,20,6,1,20,6,1,20,6,1,20,6,1,19
AZ_C5,19,1,2,19,1,2,19,1,2,19,1,2,19,1,2
AZ_C6,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19
AZ_C7,19,21,6,19,21,6,19,21,6,19,21,6,19,2,6
AZ_C8,19,1,2,19,1,2,19,1,2,19,1,2,19,1,2
AZ_C9,2,11,4,2,11,4,2,11,3,1,11,3,1,11,3
AZ_D1,9,1,6,9,1,6,9,1,6,9,1,6,9,1,6
AZ_D10,9,9,6,9,9,6,9,9,6,9,9,6,9,9,6
AZ_D11,9,21,6,9,21,6,9,21,6,9,21,6,9,2,6
AZ_D12,7,1,10,7,1,10,7,1,10,7,1,10,7,1,10
AZ_D2,6,1,19,6,1,19,6,1,19,6,1,19,6,1,19
AZ_D3,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_D4,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_D5,6,1,13,6,1,13,6,1,13,6,1,13,6,1,13
AZ_D6,6,1,19,6,1,19,6,1,19,6,1,19,6,1,19
AZ_D7,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_D8,7,1,10,7,1,10,7,1,10,7,1,10,7,1,10
AZ_D9,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_E1,9,9,20,9,9,20,9,9,20,9,9,20,9,9,19
AZ_E10,9,1,19,9,1,19,9,1,19,9,1,19,9,1,19
AZ_E11,9,21,6,9,21,6,9,21,6,9,21,6,9,2,6
AZ_E12,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_E2,19,1,19,19,1,19,19,1,19,19,1,19,19,1,19
AZ_E3,10,13,23,10,13,23,10,13,23,10,13,23,10,13,21
