"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Monocle.33" 4 32 660 10045 0.111111111111111 0.0616534329752452 "Monocle" "33"
"2" "Monocle.66" 6 28 1833 8872 0.176470588235294 0.171228397944886 "Monocle" "66"
"3" "Monocle.90" 8 22 3353 7352 0.266666666666667 0.313218122372723 "Monocle" "90"
"4" "Monocle.Final" 8 22 3353 7352 0.266666666666667 0.313218122372723 "Monocle" "Final"
"5" "Monocle.Initial" 2 38 289 10416 0.05 0.0269967304997665 "Monocle" "Initial"
"6" "sc3.33" 6 46 1323 9382 0.115384615384615 0.123587108827651 "sc3" "33"
"7" "sc3.66" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "66"
"8" "sc3.90" 10 33 3752 6953 0.232558139534884 0.35049042503503 "sc3" "90"
"9" "sc3.Final" 8 30 3403 7302 0.210526315789474 0.31788883699206 "sc3" "Final"
"10" "sc3.Initial" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "Initial"
"11" "Seurat.33" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "33"
"12" "Seurat.66" 6 30 2705 8000 0.166666666666667 0.252685660906119 "Seurat" "66"
"13" "Seurat.90" 8 24 3523 7182 0.25 0.329098552078468 "Seurat" "90"
"14" "Seurat.Final" 8 22 3523 7182 0.266666666666667 0.329098552078468 "Seurat" "Final"
"15" "Seurat.Initial" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "Initial"
