cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100
HP1502401_A10,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19,16,2,20,19
HP1502401_A12,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8,7,23,3,8
HP1502401_A14,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,18,3,12,8,4,3,11,8,4,3,11,8,4,3,3,8,4,3
HP1502401_A15,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,9,7,5,3,1
HP1502401_A17,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8,7,17,3,8
HP1502401_A18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18,13,10,6,18
HP1502401_A2,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,22,13,10,6,1
HP1502401_A20,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17,18,5,22,17
HP1502401_A21,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24,18,5,22,24
HP1502401_A22,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,18,5,12,8,4,5,11,8,4,5,11,8,4,4,3,8,4,1
HP1502401_A23,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19,18,5,22,19
HP1502401_A24,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,4,13,10,6,1
HP1502401_A4,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21,7,14,3,21
HP1502401_A6,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,4,16,2,20,1
