cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,Garbage3-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,Garbage3-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,Garbage3-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,Garbage3-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,Garbage3-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,Garbage3-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,Garbage3-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,Garbage3-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,Garbage3-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,Garbage3-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,Garbage3-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,Garbage3-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,Garbage3-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,Garbage3-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,Garbage3-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,Garbage3-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,Garbage3-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,Garbage3-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,Garbage3-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,Garbage3-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100,Garbage3-100
HP1502401_A10,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,28,6,17,7,6,29,2,6,17,7,6,29,2,6,17,7,6,29,2,6,17,7,6,29,2,6,17,7,6,29,2,6,17,7,6,29,2,6,17,7,6,29,2,6,17,7,6,29,2,6,17,7,6,29
HP1502401_A12,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,15,1,2,16,11,1,2,1,2,16,11,1,2,1,2,16,11,1,2,1,2,16,11,1,2,1,2,16,11,1,1,1,2,10,11,1,1,1,2
HP1502401_A14,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,14,26,28,27,19,8,8,26,28,27,19,8,8,26,28,27,19,8,8,26,28,27,19,8,8,26,28,27,19,8,8,26,28,27,19,8,8,26,28,27,19,8,8,26,28,5,19,8,8,26,1,5,19,8,8,26,1,3
HP1502401_A15,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,27,16,4,10,23,13,5,16,4,10,23,13,5,10,4,10,23,1,3
HP1502401_A17,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,16,15,1,6,26,20,10,15,1,1,1,20
HP1502401_A18,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23,17,20,7,1,32,23
HP1502401_A2,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,20,32,24,17,20,7,2,32,24,17,20,7,2,32,24,17,20,7,2,32,5,17,20,7,1,32,5,17,20,7,1,32,3
HP1502401_A20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,5,13,22,30,20,32,4,13,22,30,20
HP1502401_A21,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,30,3,3,32,5,13,2,3,3,32,5,13,2,3,3,32,5,13,2,3,3,32,5,13,2,3,3,32,5,13,1,3,3,32,4,13,1,1,3
HP1502401_A22,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,14,35,13,3,21,8,8,35,13,3,21,8,8,35,13,3,21,8,8,35,13,3,21,8,8,35,13,3,19,8,8,35,13,3,19,8,8,35,13,3,19,8,8,35,13,3,19,8,8,1,13,3,19,8,8,1,1,3
