cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100
HP1502401_A10,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,18,24,16,2,20,1,24
HP1502401_A12,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,11,1,7,23,3,5,1,7,23,3,1,1
HP1502401_A14,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,12,8,18,17,2,11,8,4,17,2,11,8,4,17,2,11,8,4,17,2,11,8,4,17,2,3,8,4,17,2
HP1502401_A15,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,22,7,5,3,12,6,7,5,3,12,6,7,5,3,1,1
HP1502401_A17,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14,7,17,3,17,14
HP1502401_A18,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,15,10,13,10,6,1,1
HP1502401_A2,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19,13,10,6,13,19
HP1502401_A20,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,16,18,5,22,16,1
HP1502401_A21,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,21,24,18,5,22,5,24,18,5,22,1,24
HP1502401_A22,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,12,8,18,8,13,11,8,4,8,13,11,8,4,8,13,11,8,4,6,13,11,8,4,5,13,3,8,4,1,13
HP1502401_A23,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24,18,5,22,10,24
HP1502401_A24,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,16,13,10,6,1,1
HP1502401_A4,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3,7,14,3,16,3
HP1502401_A6,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,25,18,16,2,20,6,6,16,2,20,5,6,16,2,20,1,1
HP1502401_A7,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,11,10,16,2,19,5,10,16,2,19,1,1
HP1502401_B1,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,18,10,16,2,20,1,1
HP1502401_B10,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,18,20,7,22,27,1,1
HP1502401_B11,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,6,13,15,12,9,3,13,15,12,9,3,13,15,12,9,3,13,15,12,9,3,13,15,12,9,3,13,15,12,9,3,13,15,12,9,3,13,15,6,9,3,13,15,6,9,3,13,1,1
