cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100
human1_lib1.final_cell_0001,18,16,20,29,19,18,16,20,29,19,18,16,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,18,15,20,29,19,7,15,2,29,19,7,15,2,29,19,7,15,2,29,19,7,15,2,29,19,7,15,2,29,19,7,15,2,29,19,7,15,2,2,19,7,15,2,2,2
human1_lib1.final_cell_0002,21,16,20,3,21,21,16,20,3,21,21,16,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,20,3,21,21,15,2,3,21,21,15,2,3,21,21,15,2,3,21,21,15,2,3,21,21,15,2,3,21,21,15,2,3,21,21,15,2,2,3,21,15,2,2,2
human1_lib1.final_cell_0003,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,18,15,20,2,30,7,15,2,2,30,7,15,2,2,30,7,15,2,2,30,7,15,2,2,30,7,15,2,2,30,7,15,2,2,30,7,15,2,2,30,7,15,2,2,30
human1_lib1.final_cell_0004,18,16,20,23,25,18,16,20,23,25,18,16,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,18,15,20,23,25,7,15,2,23,25,7,15,2,23,25,7,15,2,23,25,7,15,2,23,25,7,15,2,23,25,7,15,2,23,25,7,15,2,23,25,7,15,2,23,2
human1_lib1.final_cell_0005,18,16,20,21,18,18,16,20,21,18,18,16,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,18,15,20,21,18,7,15,2,21,18,7,15,2,21,18,7,15,2,21,18,7,15,2,21,18,7,15,2,21,18,7,15,2,21,18,7,15,2,2,18,7,15,2,2,18
human1_lib1.final_cell_0006,18,16,20,9,1,18,16,20,9,1,18,16,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,18,15,20,9,1,7,15,2,9,1,7,15,2,9,1,7,15,2,9,1,7,15,2,9,1,7,15,2,9,1,7,15,2,9,1,7,15,2,2,1,7,15,2,2,1
human1_lib1.final_cell_0007,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,31,38,23,3,30,2
human1_lib1.final_cell_0008,18,16,20,32,35,18,16,20,32,35,18,16,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,18,15,20,32,35,7,15,2,32,35,7,15,2,32,35,7,15,2,32,35,7,15,2,32,35,7,15,2,32,35,7,15,2,32,35,7,15,2,32,35,7,15,2,32,35
human1_lib1.final_cell_0009,21,16,20,3,5,21,16,20,3,5,21,16,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,20,3,5,21,15,2,3,5,21,15,2,3,5,21,15,2,3,5,21,15,2,3,5,21,15,2,3,5,21,15,2,3,5,21,15,2,2,5,21,15,2,2,5
human1_lib1.final_cell_0010,18,16,20,11,14,18,16,20,11,14,18,16,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,18,15,20,11,14,7,15,2,11,14,7,15,2,11,14,7,15,2,11,14,7,15,2,11,14,7,15,2,11,14,7,15,2,11,14,7,15,2,11,14,7,15,2,11,14
human1_lib1.final_cell_0011,18,16,20,4,26,18,16,20,4,26,18,16,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,18,15,20,4,26,7,15,2,4,26,7,15,2,4,26,7,15,2,4,26,7,15,2,4,26,7,15,2,4,26,7,15,2,4,26,7,15,2,4,26,7,15,2,4,2
human1_lib1.final_cell_0012,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,18,15,20,2,3,7,15,2,2,3,7,15,2,2,3,7,15,2,2,3,7,15,2,2,3,7,15,2,2,3,7,15,2,2,3,7,15,2,2,3,7,15,2,2,2
human1_lib1.final_cell_0013,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,31,5,3,6,22,2
