cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100
human1_lib1.final_cell_0001,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,28,6,14,5,2,27,6,14,5,2,27,6,14,5,2,27,6,14,5,2,27,6,14,5,2,27,6,14,5,1
human1_lib1.final_cell_0002,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,6,2,24,6,14,4,2,24,6,14,4,1
human1_lib1.final_cell_0003,28,9,14,3,27,28,9,14,3,27,28,9,14,3,27,28,9,14,3,27,28,9,14,3,27,28,9,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,28,6,14,3,27,27,6,14,3,27,27,6,14,3,1,27,6,14,3,1,27,6,14,3,1,27,6,14,3,1
human1_lib1.final_cell_0004,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,28,6,14,28,27,27,6,14,28,27,27,6,14,28,1,27,6,14,6,1,27,6,14,4,1,27,6,14,4,1
human1_lib1.final_cell_0005,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,28,6,14,12,2,27,6,14,12,2,27,6,14,12,2,27,6,14,12,2,27,6,14,12,2,27,6,14,12,1
human1_lib1.final_cell_0006,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,8,11,24,6,14,4,11
human1_lib1.final_cell_0007,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14,7,10,3,24,14
human1_lib1.final_cell_0008,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,28,6,14,6,19,27,6,14,6,19,27,6,14,6,19,27,6,14,6,19,27,6,14,4,1,27,6,14,4,1
human1_lib1.final_cell_0009,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,23,13,24,6,14,6,13,24,6,14,4,13,24,6,14,4,1
human1_lib1.final_cell_0010,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,28,6,14,14,13,27,6,14,14,13,27,6,14,14,13,27,6,14,14,13,27,6,14,4,13,27,6,14,4,1
human1_lib1.final_cell_0011,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,28,6,14,7,4,27,6,14,7,4,27,6,14,7,4,27,6,14,6,4,27,6,14,4,4,27,6,14,4,4
human1_lib1.final_cell_0012,28,9,14,15,19,28,9,14,15,19,28,9,14,15,19,28,9,14,15,19,28,9,14,15,19,28,9,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,28,6,14,15,19,27,6,14,15,19,27,6,14,15,19,27,6,14,15,19,27,6,14,4,1,27,6,14,4,1
human1_lib1.final_cell_0013,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,19,26,14,5,4,1,26,14,5,4,1
human1_lib1.final_cell_0014,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,23,5,26,14,5,6,5,26,14,5,4,5,26,14,5,4,1
human1_lib1.final_cell_0015,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,19,21,21,1,17,6,21,21,1,17,4,21,21,1,17,4,21
human1_lib1.final_cell_0016,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,26,23,16,8,20,1,23,16,8,20,1
human1_lib1.final_cell_0017,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,26,19,7,10,3,6,19,7,10,3,4,1,7,10,3,4,1
human1_lib1.final_cell_0018,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,28,6,14,6,3,27,6,14,6,3,27,6,14,6,3,27,6,14,6,3,27,6,14,4,3,27,6,14,4,1
human1_lib1.final_cell_0019,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,26,16,7,11,24,1,16,7,11,24,1
human1_lib1.final_cell_0020,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,25,7,18,3,21,1,7,18,3,21,1,7,18,3,21,1,7,18,3,4,1
human1_lib1.final_cell_0021,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,23,7,18,3,3,1,7,18,3,3,1,7,18,3,3,1,7,18,3,3,1
