cells,sc3-00,Monocle-00,Seurat-00,Garbage1-00,Garbage2-00,Garbage3-00,sc3-05,Monocle-05,Seurat-05,Garbage1-05,Garbage2-05,Garbage3-05,sc3-10,Monocle-10,Seurat-10,Garbage1-10,Garbage2-10,Garbage3-10,sc3-15,Monocle-15,Seurat-15,Garbage1-15,Garbage2-15,Garbage3-15,sc3-20,Monocle-20,Seurat-20,Garbage1-20,Garbage2-20,Garbage3-20,sc3-25,Monocle-25,Seurat-25,Garbage1-25,Garbage2-25,Garbage3-25,sc3-30,Monocle-30,Seurat-30,Garbage1-30,Garbage2-30,Garbage3-30,sc3-35,Monocle-35,Seurat-35,Garbage1-35,Garbage2-35,Garbage3-35,sc3-40,Monocle-40,Seurat-40,Garbage1-40,Garbage2-40,Garbage3-40,sc3-45,Monocle-45,Seurat-45,Garbage1-45,Garbage2-45,Garbage3-45,sc3-50,Monocle-50,Seurat-50,Garbage1-50,Garbage2-50,Garbage3-50,sc3-55,Monocle-55,Seurat-55,Garbage1-55,Garbage2-55,Garbage3-55,sc3-60,Monocle-60,Seurat-60,Garbage1-60,Garbage2-60,Garbage3-60,sc3-65,Monocle-65,Seurat-65,Garbage1-65,Garbage2-65,Garbage3-65,sc3-70,Monocle-70,Seurat-70,Garbage1-70,Garbage2-70,Garbage3-70,sc3-75,Monocle-75,Seurat-75,Garbage1-75,Garbage2-75,Garbage3-75,sc3-80,Monocle-80,Seurat-80,Garbage1-80,Garbage2-80,Garbage3-80,sc3-85,Monocle-85,Seurat-85,Garbage1-85,Garbage2-85,Garbage3-85,sc3-90,Monocle-90,Seurat-90,Garbage1-90,Garbage2-90,Garbage3-90,sc3-95,Monocle-95,Seurat-95,Garbage1-95,Garbage2-95,Garbage3-95,sc3-100,Monocle-100,Seurat-100,Garbage1-100,Garbage2-100,Garbage3-100
HP1502401_A10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,17,10,16,2,20,13,1,10,16,2,20,3,1,10,16,2,20,3,1,10,16,2,20,1,1,10
HP1502401_A12,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,5,1,3,7,23,3,1,1,1
HP1502401_A14,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,18,14,25,3,12,8,4,14,25,3,11,8,4,14,25,3,11,8,4,14,25,3,11,8,4,14,1,3,11,8,4,14,1,3,11,8,4,14,1,3,3,8,4,14,1,1
HP1502401_A15,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,17,7,5,3,24,6,2,7,5,3,24,6,1,7,5,3,3,6,1,7,5,3,3,6,1,7,5,3,1,6,1
HP1502401_A17,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,9,7,17,3,9,17,2,7,17,3,9,1,1,7,17,3,9,1,1,7,17,3,9,1,1,7,17,3,9,1,1
HP1502401_A18,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,24,13,6,13,10,6,3,13,6,13,10,6,3,1,6,13,10,6,1,1,6
HP1502401_A2,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,2,23,13,10,6,3,1,23,13,10,6,3,1,23,13,10,6,3,1,23,13,10,6,1,1,1
HP1502401_A20,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,3,18,5,22,14,14,1
HP1502401_A21,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,20,8,18,5,22,9,1,8
HP1502401_A22,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,18,14,25,2,12,8,4,14,25,2,11,8,4,14,25,2,11,8,4,14,25,2,11,8,4,14,1,1,11,8,4,14,1,1,11,8,4,14,1,1,3,8,4,14,1,1
