cells,sc3-00,Monocle-00,Seurat-00,sc3-05,Monocle-05,Seurat-05,sc3-10,Monocle-10,Seurat-10,sc3-15,Monocle-15,Seurat-15,sc3-20,Monocle-20,Seurat-20,sc3-25,Monocle-25,Seurat-25,sc3-30,Monocle-30,Seurat-30,sc3-35,Monocle-35,Seurat-35,sc3-40,Monocle-40,Seurat-40,sc3-45,Monocle-45,Seurat-45,sc3-50,Monocle-50,Seurat-50,sc3-55,Monocle-55,Seurat-55,sc3-60,Monocle-60,Seurat-60,sc3-65,Monocle-65,Seurat-65,sc3-70,Monocle-70,Seurat-70,sc3-75,Monocle-75,Seurat-75,sc3-80,Monocle-80,Seurat-80,sc3-85,Monocle-85,Seurat-85,sc3-90,Monocle-90,Seurat-90,sc3-95,Monocle-95,Seurat-95,sc3-100,Monocle-100,Seurat-100
HP1502401_A10,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,17,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_A12,7,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1
HP1502401_A14,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,11,8,12,11,8,8,11,8,8,11,8,8,11,8,8,11,8,8,3,8,8
HP1502401_A15,7,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10,6,12,10
HP1502401_A17,7,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1,6,3,1
HP1502401_A18,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7
HP1502401_A2,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7
HP1502401_A20,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,6
HP1502401_A21,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,6
HP1502401_A22,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,11,8,12,11,8,8,11,8,8,11,8,8,11,8,8,11,8,8,3,8,8
HP1502401_A23,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,14,18,12,6
HP1502401_A24,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7,13,13,7
HP1502401_A4,7,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3,6,3,3
HP1502401_A6,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_A7,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_B1,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_B10,7,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,12,6,9,8,6,9,8,6,9,8,6,9,8,6,9,8,6,9,8
HP1502401_B11,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6
HP1502401_B14,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_B15,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6
HP1502401_B16,7,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1,6,12,1
HP1502401_B17,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,12,8,12,11,8,12,11,8,8,11,8,8,11,8,8,11,8,8,11,8,8,3,8,8
HP1502401_B18,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6,9,2,6
HP1502401_B20,7,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10,6,9,10
HP1502401_B21,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_B22,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,14,18,4,6
HP1502401_B23,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_B24,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
HP1502401_B5,7,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1,6,10,1
HP1502401_B7,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,16,4,11,14,4,11,14,4,11,14,4,11
